100m,10.02,12.06,13.51
200m,20.13,24.63,27.81
300m,31.59,39.09,44.39
400m,44.71,54.75,61.85
500m,58.70,71.97,81.35
110mH,13.28,16.95,19.54
400mH,48.61,62.35,72.05
4x100m,38.34,47.46,53.92
4x200m,80.50,99.10,112.25
4x400m,179.84,224.99,256.92
600m,73.72,90.05,101.61
800m,104.15,126.95,143.07
1000m,134.12,164.4,185.81
1500m,213.20,263.52,299.10
Mile,230.09,284.25,322.54
2000m,293.43,362.13,410.71
2000mSC,317.50,417.82,488.75
3000m,456.28,568.67,648.14
3000mSC,492.7,647.94,756.35
2Miles,491.64,612.65,698.22
5000m,782.75,975.26,1111.37
10000m,1636.70,2079.93,2393.35
5km,783,975,1111
10km,1637,2080,2393
15km,2512,3202,3690
10Miles,2704,3450,3977
20km,3377,4351,5040
HalfMarathon,3580,4622,5360
25km,4312,5605,6519
30km,5269,6869,8046
Marathon,7659,10160,11929
100km,22525,30162,35562